,molecule_id,smiles,target_core,vs1,vdelta
0,chromo0061,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,0,2.6098,1.0983999999999998
1,chromo1785,CCCCC(CC)COc1ccc2nc(-c3ccc(-c4ccccc4)s3)sc2c1,1,3.2583,1.1488
2,chromo2478,COC(=O)c1nc2cnc(N)nc2n1Cc1ccccc1,0,3.9213,1.1989999999999998
3,chromo2292,C(=Cc1nc(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)nc(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)n1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,1,2.7996,0.6441999999999997
4,chromo3114,Cc1cc2oc3ccccc3c2c2[nH]c3ccccc3c12,0,3.9446,0.9703
5,chromo2794,CN(C)c1ccc(C=CC=C2CCC(=CC=Cc3ccc(N(C)C)cc3)C2=O)cc1,1,2.5354,0.9497
6,chromo4894,CC1=C(c2ccccc2)C(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(-c3ccccc3)c(C)n1[B-]2(F)F,1,2.7568,1.2712
7,chromo0425,Cc1cc(O)c(C(=O)C=Cc2ccccc2)c(=O)o1,0,3.5291,1.1954000000000002
8,chromo5493,CCC1=C(C)C2=Cc3c4ccccc4c4n3[B-](C)(Oc3ccccc3-4)[N+]2=C1C,0,2.3308,1.0783
9,chromo5562,Cc1cc(C)n2c1C=C1c3ccccc3C(c3cccn3C)=[N+]1[B-]2(F)F,0,2.4872,1.2626000000000002
10,chromo6769,CC(C)[Si](C#Cc1c2cc3ccccc3cc2c(C#Cc2ccc(F)cc2)c2cc3ccccc3cc12)(C(C)C)C(C)C,0,1.703,1.3408
11,chromo3303,CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cc(-c6ccc(C)cc6)n(-c6ccccc6)n5)s4)ccc(c23)C1=O,0,2.7946,0.7814999999999999
12,chromo5899,CCN(CC)c1ccc([N+]2=Cc3ccc4c5c(ccc4c3O[B-]2(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)C=[N+](c2ccc(N(CC)CC)cc2)[B-](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)O5)cc1,0,2.0999,0.6057999999999999
13,chromo2136,S=P1(c2ccccc2)c2cccc3ccc4ccc1n4c23,0,3.1246,0.7883
14,chromo2235,O=S(=O)(c1ccc(-c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1)c1ccc(-c2ccc(-c3nc4c5ccccc5c5ccccc5c4n3-c3ccccc3)cc2)cc1,1,3.1339,0.5748000000000002
15,chromo4021,CCCN1c2ccccc2Sc2cc(C#CC3=C4C=CC=[N+]4[B-](F)(F)n4cccc43)ccc21,0,2.2617,0.8037999999999998
16,chromo0800,CC1(C)c2ccccc2-c2sc3ccccc3c21,0,3.9592,1.4173
17,chromo6534,CN(C)c1ccc(-c2nc3nc4ccccc4nc3n2-c2ccccc2)cc1,0,3.224,0.8769
18,chromo1152,O=C1c2cc3ccccc3cc2C2=Nc3ccc4ccccc4[n+]3[B-](F)(F)N12,0,3.1924,0.7385000000000002
19,chromo3066,CC1=NC(=Cc2ccc(N(C)C)cc2)C(=O)N1C,0,3.2763,1.4896
20,chromo3143,CC1CCC(=CSC=Cc2ccc(-c3ccc(C=CSC=C4CCC(C)CC4)cc3)cc2)CC1,0,3.3328,1.0417
21,chromo2274,CCCCn1c2ccc(C#N)cc2c2cc(C#N)ccc21,1,3.9341,0.8592999999999997
22,chromo4686,Cc1ccc2nc3cc4c(cc3c(-c3ccccc3)c2c1)[Si](C)(C)O[Si](C)(C)O[Si]4(C)C,0,3.2027,1.3161
23,chromo5342,CC(C)(C)NC(=O)c1ccc(-c2cc3ccccc3s2)c2ccc3c4ccccc4c4ccccc4c3c12,0,3.2333,1.0492999999999997
24,chromo5561,Cc1cc(C)n2c1C=C1c3ccccc3C(c3ccc[nH]3)=[N+]1[B-]2(F)F,0,2.4767,1.302
25,chromo2214,Cc1ccc([B-]2(c3ccc(C)cc3)n3nc(C(F)(F)F)cc3-c3c4ccccc4cc[n+]32)cc1,0,2.7902,0.3904000000000001
26,chromo3404,CC(=O)c1nc(-c2ccc(N(C)C)cc2)oc1C,0,3.7982,1.04
27,chromo5074,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc6c7ccccc7n7c8ccccc8c(c54)c67)cc3)n2)cc1,0,2.8045,0.1901000000000001
28,chromo5621,COc1cccc(-c2c3ccccc3c3n2[B-](F)(F)[N+]2=Cc4c5ccccc5c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]2=C3)c1,0,2.4367,0.9059
29,chromo5765,N#Cc1c(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2cccs2)cc1N1CCCCC1,1,2.8076,0.8041
30,chromo0539,COc1ccc(-c2csc(C(C#N)=NNc3ccc(C#N)cc3)n2)cc1,1,2.8581,0.8724999999999998
31,chromo0411,O=[N+]([O-])c1ccc(-c2nc(C=Cc3ccccc3)c(C=Cc3ccccc3)[nH]2)cc1,1,2.376,0.6968999999999999
32,chromo3731,CCn1c2ccccc2c2cc(C#Cc3cc(C#Cc4ccc5c(c4)c4ccccc4n5CC)nc(SC)n3)ccc21,1,3.1357,0.5983999999999998
33,chromo3109,Cc1cc2c3ccccc3oc2c2[nH]c3ccccc3c12,0,3.8129,0.8300999999999998
34,chromo1093,COc1ccc(C#Cc2c3ccccc3c3n2[B-](F)(F)[N+]2=C(C)C=C(C)C2=C3)cc1,0,2.3715,1.2872
35,chromo2226,c1ccc2c(-c3ccc4sc5ccccc5c4c3)c3ccccc3cc2c1,1,3.1891,1.4249999999999998
36,chromo2445,CCN(CC)c1ccc(-c2cc3c(s2)c(C(=O)OC)cc(=O)n3C)cc1,1,2.7947,0.9812000000000004
37,chromo0499,O=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)C1C(c2ccccc2)CC(O)(c2ccccn2)CC1(O)c1ccccn1,1,3.3336,0.8138000000000001
38,chromo4207,Cc1cccc(C)c1N1C(c2ccccc2)=Cc2ccc3ccccc3[n+]2[B-]1(F)F,0,3.1038,0.9934000000000004
39,chromo2534,CN(C)c1ccc(C2=Nc3scc[n+]3[B-](F)(F)O2)cc1,0,3.41,0.8997000000000002
40,chromo6109,CC(C)[Si](C#Cc1c2ccccc2c(C#C[Si](C(C)C)(C(C)C)C(C)C)c2nc3ccccc3nc12)(C(C)C)C(C)C,0,1.9785,1.1225
41,chromo4067,COc1cc(OC)cc(-c2nnc(-c3cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)c3)o2)c1,1,3.5467,0.9627
42,chromo2367,CN(C)c1ccc(C2=Nc3sc4cc(Cl)ccc4[n+]3[B-](F)(F)O2)cc1,0,3.2696,0.8121
43,chromo3072,CN(C)c1cc(-c2ccccc2)cc2ccccc12,1,3.7324,1.2202000000000002
44,chromo4629,O=C(NCc1ccccc1)c1sc(-c2ccc(-c3cc(C4CC4)c(C(=O)NCc4ccccc4)s3)s2)cc1C1CC1,1,2.9857,1.1684
45,chromo6345,COC(=O)c1[nH]c(-c2ccccc2)c2nnc3c4ccccc4oc3c12,0,3.1826,1.2253999999999998
46,chromo0996,Cc1ccc(C2=C3C=CC(C#Cc4ccccc4)=[N+]3[B-](F)(F)n3c(C#Cc4ccccc4)ccc32)cc1,1,2.2191,1.0468000000000002
